"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Purchase without name impossible","Purchase","0","0","1","0","0"
"","Negative login","","0","0","3","0","0"
"","Sign up on UI","","0","0","1","0","0"
"","Successful purchase","Purchase","0","0","1","0","0"
"","Text in footer is present","Visual tests","0","0","1","0","0"
"","","Visual tests","0","0","1","0","0"
"","Login on UI","","0","0","1","0","0"
"","User is able to click next and previous img in carousel","Visual tests","0","0","1","0","0"
"","Category displays valid items","Visual tests","0","0","0","1","0"
"","Purchase without card number impossible","Purchase","0","0","1","0","0"
